time_s,target_azimuth_deg,target_elevation_deg,huskylens_x_center_px,huskylens_y_center_px,pixel_error_x_px,pixel_error_y_px,azimuth_direction_error_deg,elevation_direction_error_deg,filtered_azimuth_error_deg,filtered_elevation_error_deg,commanded_azimuth_deg,commanded_elevation_deg,azimuth_deg,elevation_deg,azimuth_speed_dps,elevation_speed_dps,boresight_error_deg,locked,camera_detected,human_detected,laser_enabled
0.26000,119.95572,30.11998,159.81980,119.89217,-0.18020,-0.10783,-0.03097,-0.01887,0.07487,-0.00739,120.06156,30.13146,119.98669,30.13885,0.00000,0.00000,0.07523,true,true,false,true
0.27000,120.04396,30.07144,160.33319,119.61480,0.33319,-0.38520,0.05723,-0.06737,0.07112,-0.02011,120.05782,30.11874,119.98669,30.13885,0.00000,0.00000,0.07391,true,true,false,true
0.28000,120.05495,30.17654,160.39713,120.21537,0.39713,0.21537,0.06822,0.03767,0.07051,-0.00785,120.05720,30.13100,119.98669,30.13885,0.00000,0.00000,0.07095,true,true,false,true
0.29000,119.95984,30.10334,159.84377,119.79709,-0.15623,-0.20291,-0.02684,-0.03550,0.04985,-0.01372,120.03655,30.12513,119.98669,30.13885,0.00000,0.00000,0.05171,true,true,false,true
0.30000,120.05494,30.03226,160.39708,119.39092,0.39708,-0.60908,0.06818,-0.10648,0.05374,-0.03340,120.04043,30.10545,119.98669,30.13885,0.00000,0.00000,0.06327,true,true,false,true
0.31000,119.98807,30.16776,160.00801,120.16520,0.00801,0.16520,0.00138,0.02890,0.04263,-0.02018,120.02932,30.11867,119.98669,30.13885,0.00000,0.00000,0.04717,true,true,false,true
0.32000,119.88027,30.13063,159.38081,119.95303,-0.61919,-0.04697,-0.10634,-0.00821,0.01102,-0.01764,119.99772,30.12121,119.98669,30.13885,0.00000,0.00000,0.02080,true,true,false,true
0.33000,119.93399,30.12594,159.69337,119.92623,-0.30663,-0.07377,-0.05268,-0.01290,-0.00249,-0.01664,119.98420,30.12221,119.98669,30.13885,0.00000,0.00000,0.01682,true,true,false,true
0.34000,120.05149,30.10755,160.37700,119.82115,0.37700,-0.17885,0.06477,-0.03128,0.01178,-0.01974,119.99847,30.11910,119.98669,30.13885,0.00000,0.00000,0.02299,true,true,false,true
0.35000,120.09889,30.15078,160.65278,120.06817,0.65278,0.06817,0.11211,0.01192,0.03306,-0.01303,120.01976,30.12582,119.98669,30.13885,0.00000,0.00000,0.03554,true,true,false,true
0.36000,120.04637,29.99693,160.34721,119.18903,0.34721,-0.81097,0.05960,-0.14173,0.03869,-0.04033,120.02539,30.09852,119.98669,30.13885,0.00000,0.00000,0.05589,true,true,false,true
0.37000,119.97881,30.13230,159.95414,119.96257,-0.04586,-0.03743,-0.00788,-0.00655,0.02881,-0.03317,120.01550,30.10568,119.98669,30.13885,0.00000,0.00000,0.04393,true,true,false,true
0.38000,119.92581,30.15081,159.64577,120.06835,-0.35423,0.06835,-0.06086,0.01196,0.00979,-0.02359,119.99648,30.11526,119.98669,30.13885,0.00000,0.00000,0.02554,true,true,false,true
0.39000,119.88161,30.13965,159.38861,120.00457,-0.61139,0.00457,-0.10500,0.00080,-0.01457,-0.01842,119.97212,30.12043,119.98669,30.13885,0.00000,0.00000,0.02348,true,true,false,true
0.40000,119.98439,30.02552,159.98660,119.35240,-0.01340,-0.64760,-0.00230,-0.11321,-0.01197,-0.03853,119.97473,30.10032,119.98669,30.13885,0.00000,0.00000,0.04034,true,true,false,true
0.41000,120.00741,30.16770,160.12054,120.16486,0.12054,0.16486,0.02071,0.02884,-0.00503,-0.02423,119.98166,30.11462,119.98669,30.13885,0.00000,0.00000,0.02475,true,true,false,true
0.42000,120.09255,30.26170,160.61590,120.70200,0.61590,0.70200,0.10573,0.12271,0.01847,0.00694,120.00516,30.14579,119.98669,30.13885,0.00000,0.00000,0.01973,true,true,false,true
0.43000,119.92730,30.10042,159.65444,119.78040,-0.34556,-0.21960,-0.05937,-0.03841,0.00195,-0.00268,119.98865,30.13617,119.98669,30.13885,0.00000,0.00000,0.00332,true,true,false,true
0.44000,119.93516,30.24871,159.70017,120.62777,-0.29983,0.62777,-0.05148,0.10975,-0.00938,0.02117,119.97731,30.16002,119.98669,30.13885,0.00000,0.00000,0.02316,true,true,false,true
0.45000,119.99023,30.09907,160.02058,119.77269,0.02058,-0.22731,0.00354,-0.03976,-0.00664,0.00824,119.98005,30.14709,119.98669,30.13885,0.00000,0.00000,0.01059,true,true,false,true
0.46000,120.10098,30.15917,160.66494,120.11612,0.66494,0.11612,0.11419,0.02030,0.01900,0.01080,120.00569,30.14965,119.98669,30.13885,0.00000,0.00000,0.02185,true,true,false,true
0.47000,120.15412,30.07487,160.97412,119.63440,0.97412,-0.36560,0.16722,-0.06390,0.05045,-0.00505,120.03714,30.13380,119.98669,30.13885,0.00000,0.00000,0.05070,true,true,false,true
0.48000,120.03698,30.16661,160.29258,120.15863,0.29258,0.15863,0.05027,0.02775,0.05041,0.00191,120.03710,30.14076,119.98669,30.13885,0.00000,0.00000,0.05045,true,true,false,true
0.49000,119.94515,30.00113,159.75830,119.21303,-0.24170,-0.78697,-0.04149,-0.13754,0.03091,-0.02768,120.01760,30.11117,119.98669,30.13885,0.00000,0.00000,0.04149,true,true,false,true
0.50000,120.03982,30.14517,160.30910,120.03612,0.30910,0.03612,0.05311,0.00632,0.03562,-0.02046,120.02231,30.11839,119.98669,30.13885,0.00000,0.00000,0.04108,true,true,false,true
0.51000,120.03224,30.13829,160.26500,119.99680,0.26500,-0.00320,0.04553,-0.00056,0.03772,-0.01624,120.02442,30.12261,119.98669,30.13885,0.00000,0.00000,0.04107,true,true,false,true
0.52000,119.88819,30.13697,159.42689,119.98926,-0.57311,-0.01074,-0.09843,-0.00188,0.00883,-0.01319,119.99553,30.12566,119.98669,30.13885,0.00000,0.00000,0.01588,true,true,false,true
0.53000,120.04277,30.31079,160.32627,120.98252,0.32627,0.98252,0.05599,0.17166,0.01884,0.02603,120.00553,30.16488,119.98669,30.13885,0.00000,0.00000,0.03213,true,true,false,true
0.54000,119.94007,30.20053,159.72874,120.35246,-0.27126,0.35246,-0.04660,0.06164,0.00496,0.03359,119.99165,30.17243,119.98669,30.13885,0.00000,0.00000,0.03395,true,true,false,true
0.55000,119.97850,30.21941,159.95233,120.46035,-0.04767,0.46035,-0.00819,0.08050,0.00217,0.04354,119.98886,30.18239,119.98669,30.13885,0.00000,0.00000,0.04359,true,true,false,true
0.56000,120.06041,30.11734,160.42890,119.87709,0.42890,-0.12291,0.07368,-0.02150,0.01734,0.02974,120.00403,30.16859,119.98669,30.13885,0.00000,0.00000,0.03443,true,true,false,true
0.57000,120.05583,29.96519,160.40225,119.00766,0.40225,-0.99234,0.06902,-0.17337,0.02831,-0.01336,120.01500,30.12549,119.98669,30.13885,0.00000,0.00000,0.03130,true,true,false,true
0.58000,119.98620,30.11871,159.99713,119.88492,-0.00287,-0.11508,-0.00049,-0.02014,0.02220,-0.01479,120.00889,30.12406,119.98669,30.13885,0.00000,0.00000,0.02667,true,true,false,true
0.59000,120.02891,30.21564,160.24563,120.43880,0.24563,0.43880,0.04219,0.07673,0.02644,0.00463,120.01313,30.14348,119.98669,30.13885,0.00000,0.00000,0.02684,true,true,false,true
0.60000,120.03298,30.02957,160.26931,119.37555,0.26931,-0.62445,0.04624,-0.10917,0.03064,-0.01952,120.01733,30.11933,119.98669,30.13885,0.00000,0.00000,0.03633,true,true,false,true
0.61000,119.93733,30.12449,159.71280,119.91795,-0.28720,-0.08205,-0.04934,-0.01435,0.01367,-0.01842,120.00036,30.12043,119.98669,30.13885,0.00000,0.00000,0.02294,true,true,false,true
0.62000,120.01461,30.10281,160.16243,119.79406,0.16243,-0.20594,0.02791,-0.03603,0.01669,-0.02216,120.00338,30.11669,119.98669,30.13885,0.00000,0.00000,0.02774,true,true,false,true
0.63000,120.11755,30.18954,160.76135,120.28966,0.76135,0.28966,0.13073,0.05064,0.04089,-0.00671,120.02758,30.13214,119.98669,30.13885,0.00000,0.00000,0.04143,true,true,false,true
0.64000,120.02713,30.17488,160.23527,120.20589,0.23527,0.20589,0.04042,0.03602,0.04079,0.00235,120.02748,30.14120,119.98669,30.13885,0.00000,0.00000,0.04086,true,true,false,true
0.65000,120.04677,30.08142,160.34954,119.67183,0.34954,-0.32817,0.06004,-0.05740,0.04487,-0.01032,120.03157,30.12853,119.98669,30.13885,0.00000,0.00000,0.04605,true,true,false,true
0.66000,120.00960,30.04865,160.13328,119.48457,0.13328,-0.51543,0.02289,-0.09012,0.04021,-0.02725,120.02690,30.11159,119.98669,30.13885,0.00000,0.00000,0.04858,true,true,false,true
0.67000,119.97706,30.25519,159.94396,120.66480,-0.05604,0.66480,-0.00962,0.11621,0.02964,0.00319,120.01633,30.14203,119.98669,30.13885,0.00000,0.00000,0.02981,true,true,false,true
0.68000,119.90391,30.02726,159.51836,119.36235,-0.48164,-0.63765,-0.08269,-0.11147,0.00580,-0.02114,119.99249,30.11771,119.98669,30.13885,0.00000,0.00000,0.02192,true,true,false,true
0.69000,120.14137,29.98094,160.89994,119.09766,0.89994,-0.90234,0.15444,-0.15767,0.03734,-0.05011,120.02403,30.08874,119.98669,30.13885,0.00000,0.00000,0.06249,true,true,false,true
0.70000,119.94008,30.23407,159.72880,120.54412,-0.27120,0.54412,-0.04657,0.09513,0.01954,-0.01929,120.00623,30.11956,119.98669,30.13885,0.00000,0.00000,0.02746,true,true,false,true
0.71000,120.01922,30.01755,160.18925,119.30686,0.18925,-0.69314,0.03249,-0.12116,0.02229,-0.04091,120.00898,30.09794,119.98669,30.13885,0.00000,0.00000,0.04658,true,true,false,true
0.72000,120.13134,30.14049,160.84158,120.00937,0.84158,0.00937,0.14450,0.00164,0.04822,-0.03188,120.03491,30.10697,119.98669,30.13885,0.00000,0.00000,0.05780,true,true,false,true
0.73000,119.95424,30.11126,159.81118,119.84235,-0.18882,-0.15765,-0.03244,-0.02758,0.03110,-0.03097,120.01779,30.10788,119.98669,30.13885,0.00000,0.00000,0.04389,true,true,false,true
0.74000,120.04428,30.08945,160.33505,119.71772,0.33505,-0.28228,0.05756,-0.04938,0.03672,-0.03487,120.02341,30.10398,119.98669,30.13885,0.00000,0.00000,0.05064,true,true,false,true
0.75000,120.07010,30.14373,160.48528,120.02789,0.48528,0.02789,0.08336,0.00488,0.04661,-0.02644,120.03330,30.11241,119.98669,30.13885,0.00000,0.00000,0.05359,true,true,false,true
0.76000,120.03051,30.07035,160.25494,119.60857,0.25494,-0.39143,0.04379,-0.06845,0.04601,-0.03535,120.03271,30.10350,119.98669,30.13885,0.00000,0.00000,0.05803,true,true,false,true
0.77000,119.98274,30.08981,159.97700,119.71977,-0.02300,-0.28023,-0.00395,-0.04902,0.03541,-0.03825,120.02210,30.10060,119.98669,30.13885,0.00000,0.00000,0.05213,true,true,false,true
0.78000,119.84898,30.02995,159.19876,119.37772,-0.80124,-0.62228,-0.13757,-0.10879,-0.00129,-0.05322,119.98540,30.08563,119.98669,30.13885,0.00000,0.00000,0.05323,true,true,false,true
0.79000,119.98306,30.21753,159.97886,120.44960,-0.02114,0.44960,-0.00363,0.07862,-0.00179,-0.02525,119.98491,30.11360,119.98669,30.13885,0.00000,0.00000,0.02531,true,true,false,true
0.80000,119.94532,30.10461,159.75929,119.80435,-0.24071,-0.19565,-0.04136,-0.03423,-0.01018,-0.02715,119.97651,30.11170,119.98669,30.13885,0.00000,0.00000,0.02900,true,true,false,true
0.81000,120.04388,30.13303,160.33273,119.96675,0.33273,-0.03325,0.05716,-0.00582,0.00411,-0.02262,119.99080,30.11622,119.98669,30.13885,0.00000,0.00000,0.02299,true,true,false,true
0.82000,120.01395,29.99966,160.15859,119.20463,0.15859,-0.79537,0.02722,-0.13900,0.00901,-0.04732,119.99570,30.09153,119.98669,30.13885,0.00000,0.00000,0.04817,true,true,false,true
